"","FirstDate","reference_date","indic_IPCA-15","indic_IPCA","indic_IPCA Alimentação no domicílio","quarter"
"1",2018-01-22,"2019",4.25,4.25,NA,2018 Q1
"2",2003-01-24,"2004",8.2,8,NA,2003 Q1
"3",2003-04-01,"2004",8,8,NA,2003 Q2
"4",2003-10-28,"2004",6.29,6.01,NA,2003 Q4
"5",2004-01-02,"2005",5.4,5,NA,2004 Q1
"6",2004-04-01,"2005",5.5,5,NA,2004 Q2
"7",2004-07-28,"2005",5.56,5.5,NA,2004 Q3
"8",2005-07-01,"2006",5,5,NA,2005 Q3
"9",2006-01-23,"2007",4.5,4.5,NA,2006 Q1
"10",2006-04-03,"2007",4.5,4.5,NA,2006 Q2
"11",2006-07-03,"2007",4.5,4.5,NA,2006 Q3
"12",2006-10-18,"2007",4.35,4.2,NA,2006 Q4
"13",2007-01-02,"2008",4.1,4.1,NA,2007 Q1
"14",2001-07-02,"2002",3.8,4,NA,2001 Q3
"15",2001-10-01,"2002",5.03,4.8,NA,2001 Q4
"16",2002-01-02,"2003",4,4,NA,2002 Q1
"17",2002-04-01,"2003",4,4,NA,2002 Q2
"18",2002-07-01,"2003",4.5,4,NA,2002 Q3
"19",2002-10-01,"2003",5.8,5.5,NA,2002 Q4
"20",2003-07-01,"2004",7,7,NA,2003 Q3
"21",2004-10-01,"2005",5.8,5.8,NA,2004 Q4
"22",2005-01-03,"2006",5.26,5,NA,2005 Q1
"23",2005-04-01,"2006",5,5,NA,2005 Q2
"24",2005-10-03,"2006",4.73,4.62,NA,2005 Q4
"25",2007-04-02,"2008",4,4,NA,2007 Q2
"26",2007-07-02,"2008",4,4,NA,2007 Q3
"27",2007-10-01,"2008",4,4.1,NA,2007 Q4
"28",2008-01-02,"2009",4,4,NA,2008 Q1
"29",2008-04-01,"2009",4.06,4.3,NA,2008 Q2
"30",2008-07-01,"2009",4.58,4.85,NA,2008 Q3
"31",2008-10-01,"2009",4.8,4.85,NA,2008 Q4
"32",2009-01-02,"2010",4.5,4.5,NA,2009 Q1
"33",2009-04-01,"2010",4.5,4.49,NA,2009 Q2
"34",2009-07-01,"2010",4.5,4.33,NA,2009 Q3
"35",2009-10-01,"2010",4.45,4.4,NA,2009 Q4
"36",2010-01-04,"2011",4.5,4.5,NA,2010 Q1
"37",2010-10-01,"2011",4.76,4.92,NA,2010 Q4
"38",2010-04-12,"2011",4.6,4.8,NA,2010 Q2
"39",2011-01-05,"2012",4.5,4.5,NA,2011 Q1
"40",2010-07-01,"2011",4.7,4.8,NA,2010 Q3
"41",2011-04-01,"2012",5,5,NA,2011 Q2
"42",2011-07-05,"2012",5.1,5.2,NA,2011 Q3
"43",2012-04-11,"2013",5,5.5,NA,2012 Q2
"44",2012-07-04,"2013",5.25,5.5,NA,2012 Q3
"45",2011-10-03,"2012",5.5,5.53,NA,2011 Q4
"46",2012-01-17,"2013",4.98,5,NA,2012 Q1
"47",2012-10-03,"2013",5.36,5.47,NA,2012 Q4
"48",2015-04-10,"2016",5.75,5.65,NA,2015 Q2
"49",2013-01-02,"2014",5.35,5.5,NA,2013 Q1
"50",2015-01-15,"2016",5.65,5.65,NA,2015 Q1
"51",2015-07-22,"2016",5.64,5.4,NA,2015 Q3
"52",2013-07-08,"2014",5.9,5.9,NA,2013 Q3
"53",2014-01-02,"2015",5.5,5.5,NA,2014 Q1
"54",2014-07-07,"2015",6.08,6.065,NA,2014 Q3
"55",2013-04-01,"2014",5.55,5.7,NA,2013 Q2
"56",2013-10-04,"2014",6,5.95,NA,2013 Q4
