Historical Values of the NBER Experimental Recession Index (XRI),
Experimental Leading Index (xli2), Experimental  Coincident Index (XCI),
alternative nonfinancial  Experimental Leading Index-2 (XLI-2), and
alternative  nonfinancial Experimental Recession Index-2 (XRI-2).
Data are monthly


Last Updated:  8/28/00

     date         XRI       XLI       XCI      XLI-2     XRI-2
     1959:02          .       3.0       71.4     3.0          . 
     1959:03          .       3.0       71.6     3.0          . 
     1959:04          .       3.0       73.0     3.0          . 
     1959:05          .       3.0       73.8     3.0          . 
     1959:06          .       3.0       74.0     3.0          . 
     1959:07          .       3.0       73.3     3.0          . 
     1959:08          .       3.0       72.0     3.0          . 
     1959:09          .       3.0       71.7     3.0          . 
     1959:10          .       3.0       71.4     3.0          . 
     1959:11          .       3.0       71.8     3.0          . 
     1959:12          .       3.0       74.1     3.0          . 
     1960:01          .       3.0       75.1     3.0          . 
     1960:02          .       4.7       75.0    -0.7          . 
     1960:03          .       2.2       74.5    -0.6          . 
     1960:04          .       0.5       74.4    -0.9          . 
     1960:05          .      -1.7       74.2    -0.3          . 
     1960:06          .      -2.6       73.8     0.3          . 
     1960:07          .      -2.2       73.6     1.3          . 
     1960:08          .      -0.2       73.5     1.8          . 
     1960:09          .      -0.2       73.3     1.6          . 
     1960:10          .      -0.4       73.2     1.1          . 
     1960:11          .      -1.2       72.7    -0.6          . 
     1960:12          .      -0.2       71.7    -0.6          . 
     1961:01       0.15       1.2       71.5    -0.3       0.26 
     1961:02       0.20       0.0       71.5     1.3       0.21 
     1961:03       0.09       1.2       71.9     3.2       0.14 
     1961:04       0.03       3.0       72.4     4.1       0.15 
     1961:05       0.01       4.4       73.1     3.7       0.15 
     1961:06       0.01       6.0       73.9     5.2       0.14 
     1961:07       0.01       6.0       74.3     4.1       0.15 
     1961:08       0.01       6.7       74.9     4.6       0.13 
     1961:09       0.01       5.6       74.9     3.0       0.18 
     1961:10       0.01       5.9       75.8     3.3       0.17 
     1961:11       0.01       6.1       76.6     4.0       0.15 
     1961:12       0.01       5.9       77.1     4.5       0.14 
     1962:01       0.01       6.1       76.6     2.4       0.19 
     1962:02       0.01       7.0       77.3     4.7       0.13 
     1962:03       0.01       5.4       77.8     1.9       0.19 
     1962:04       0.01       4.8       78.3     1.9       0.13 
