Historical Values of the NBER Experimental Recession Index (XRI),
Experimental Leading Index (xli2), Experimental  Coincident Index (XCI),
alternative nonfinancial  Experimental Leading Index-2 (XLI-2), and
alternative  nonfinancial Experimental Recession Index-2 (XRI-2).
Data are monthly


Last Updated: 11/29/99

     date         XRI       XLI       XCI      XLI-2     XRI-2
     59:02          .       2.9       71.4     2.9          . 
     59:03          .       2.9       71.6     2.9          . 
     59:04          .       2.9       73.0     2.9          . 
     59:05          .       2.9       73.8     2.9          . 
     59:06          .       2.9       74.0     2.9          . 
     59:07          .       2.9       73.3     2.9          . 
     59:08          .       2.9       72.0     2.9          . 
     59:09          .       2.9       71.7     2.9          . 
     59:10          .       2.9       71.4     2.9          . 
     59:11          .       2.9       71.8     2.9          . 
     59:12          .       2.9       74.1     2.9          . 
     60:01          .       2.9       75.1     2.9          . 
     60:02          .       4.7       75.0    -0.7          . 
     60:03          .       2.2       74.5    -0.6          . 
     60:04          .       0.5       74.4    -0.9          . 
     60:05          .      -1.7       74.1    -0.3          . 
     60:06          .      -2.6       73.7     0.3          . 
     60:07          .      -2.2       73.6     1.3          . 
     60:08          .      -0.2       73.5     1.8          . 
     60:09          .      -0.2       73.2     1.6          . 
     60:10          .      -0.5       73.2     1.0          . 
     60:11          .      -1.2       72.7    -0.6          . 
     60:12          .      -0.3       71.7    -0.6          . 
     61:01       0.15       1.2       71.5    -0.3       0.26 
     61:02       0.21       0.0       71.4     1.3       0.21 
     61:03       0.09       1.2       71.9     3.2       0.14 
     61:04       0.03       3.0       72.4     4.1       0.15 
     61:05       0.01       4.3       73.0     3.7       0.15 
     61:06       0.01       6.0       73.9     5.2       0.14 
     61:07       0.01       6.0       74.3     4.1       0.15 
     61:08       0.01       6.7       74.9     4.6       0.13 
     61:09       0.01       5.6       74.9     3.0       0.18 
     61:10       0.01       5.9       75.8     3.3       0.17 
     61:11       0.01       6.1       76.6     4.0       0.15 
     61:12       0.01       5.8       77.1     4.5       0.14 
     62:01       0.01       6.0       76.6     2.4       0.20 
     62:02       0.01       7.0       77.2     4.7       0.13 
     62:03       0.01       5.4       77.8     1.9       0.19 
     62:04       0.01       4.8       78.3     1.9       0.13 
     62:05       0.04       3.0       78.4     1.5       0.17 
     62:06       0.04       3.0       78.3     1.8       0.16 
     62:07       0.03       3.0       78.6     2.7       0.12 
     62:08       0.04       2.5       78.7     2.9       0.11 
     62:09       0.02       3.7       79.0     2.9       0.11 
     62:10       0.01       4.1       79.1     2.5       0.13 
     62:11       0.01       4.0       79.5     3.2       0.11 
     62:12       0.01       4.5       79.4     3.6       0.10 
     63:01       0.01       5.1       79.5     3.7       0.11 
     63:02       0.01       5.8       80.0     4.5       0.11 
     63:03       0.01       6.3       80.4     4.7       0.11 
     63:04       0.01       6.5       81.0     4.9       0.11 
     63:05       0.01       7.5       81.5     4.3       0.11 
     63:06       0.01       6.2       81.8     2.8       0.12 
     63:07       0.02       4.6       81.9     1.3       0.13 
     63:08       0.05       3.3       82.0     2.8       0.12 
     63:09       0.03       4.1       82.4     4.4       0.07 
     63:10       0.03       4.2       82.9     4.8       0.07 
     63:11       0.03       3.5       83.0     4.1       0.09 
     63:12       0.02       4.4       83.3     3.1       0.09 
     64:01       0.01       5.0       83.4     3.6       0.13 
     64:02       0.01       6.0       84.0     4.7       0.07 
     64:03       0.02       4.8       84.2     3.8       0.13 
     64:04       0.03       3.6       85.1     3.1       0.14 
