DATE,PRS85006173
1947-01-01,115.833
1947-04-01,114.234
1947-07-01,116.076
1947-10-01,114.459
1948-01-01,114.631
1948-04-01,114.586
1948-07-01,114.581
1948-10-01,113.644
1949-01-01,113.949
1949-04-01,114.153
1949-07-01,112.001
1949-10-01,112.634
1950-01-01,111.339
1950-04-01,112.003
1950-07-01,110.578
1950-10-01,110.881
1951-01-01,110.319
1951-04-01,111.613
1951-07-01,109.679
1951-10-01,110.748
1952-01-01,111.255
1952-04-01,112.163
1952-07-01,112.843
1952-10-01,112.535
1953-01-01,112.744
1953-04-01,113.050
1953-07-01,113.344
1953-10-01,114.724
1954-01-01,115.071
1954-04-01,114.240
1954-07-01,113.252
1954-10-01,112.591
1955-01-01,110.692
1955-04-01,110.882
1955-07-01,111.309
1955-10-01,111.626
1956-01-01,113.688
1956-04-01,114.618
1956-07-01,114.925
1956-10-01,114.944
1957-01-01,113.946
1957-04-01,114.836
1957-07-01,114.151
1957-10-01,115.018
1958-01-01,116.215
1958-04-01,114.877
1958-07-01,114.778
1958-10-01,112.823
1959-01-01,113.264
1959-04-01,112.880
1959-07-01,112.922
1959-10-01,113.791
1960-01-01,113.459
1960-04-01,115.752
1960-07-01,115.293
1960-10-01,116.958
1961-01-01,116.378
1961-04-01,114.767
1961-07-01,113.610
1961-10-01,113.426
1962-01-01,112.867
1962-04-01,113.674
1962-07-01,112.467
1962-10-01,112.731
1963-01-01,112.912
1963-04-01,112.579
1963-07-01,111.035
1963-10-01,111.689
1964-01-01,110.362
1964-04-01,110.656
1964-07-01,110.434
1964-10-01,111.958
1965-01-01,110.468
1965-04-01,110.534
1965-07-01,109.029
1965-10-01,108.366
1966-01-01,108.456
1966-04-01,109.803
1966-07-01,110.184
1966-10-01,109.710
1967-01-01,109.782
1967-04-01,110.529
1967-07-01,110.503
1967-10-01,110.627
1968-01-01,109.969
1968-04-01,109.527
1968-07-01,110.560
1968-10-01,111.490
1969-01-01,110.805
1969-04-01,112.265
1969-07-01,113.027
1969-10-01,114.609
1970-01-01,115.082
1970-04-01,113.539
1970-07-01,113.020
1970-10-01,113.538
1971-01-01,111.383
1971-04-01,111.345
1971-07-01,110.783
1971-10-01,112.095
1972-01-01,112.076
1972-04-01,110.759
1972-07-01,110.912
1972-10-01,111.369
1973-01-01,111.132
1973-04-01,111.403
1973-07-01,112.949
1973-10-01,113.289
1974-01-01,113.582
1974-04-01,112.758
1974-07-01,113.766
1974-10-01,112.443
1975-01-01,111.316
1975-04-01,110.219
1975-07-01,109.146
1975-10-01,109.248
1976-01-01,108.487
1976-04-01,108.309
1976-07-01,108.807
1976-10-01,108.803
1977-01-01,108.630
1977-04-01,108.625
1977-07-01,108.171
1977-10-01,109.557
1978-01-01,111.097
1978-04-01,108.844
1978-07-01,108.792
1978-10-01,108.605
1979-01-01,110.616
1979-04-01,110.279
1979-07-01,110.551
1979-10-01,111.315
1980-01-01,111.065
1980-04-01,112.081
1980-07-01,112.690
1980-10-01,112.081
1981-01-01,109.746
1981-04-01,110.851
1981-07-01,109.962
1981-10-01,110.933
1982-01-01,112.976
1982-04-01,112.377
