"","quarter","group","liv_year"
"1",1946 Q2,1946,NA
"2",1946 Q4,1946,-6.54373976025884
"3",1947 Q2,1947,-7.37630851008122
"4",1947 Q4,1947,0.729930248161104
"5",1948 Q2,1948,-0.177357421601609
"6",1948 Q4,1948,-3.87599898094946
"7",1949 Q2,1949,-5.88583570063541
"8",1949 Q4,1949,-2.09902758918359
"9",1950 Q2,1950,0.417537141048019
"10",1950 Q4,1950,4.85722042731904
"11",1951 Q2,1951,3.14608724980037
"12",1951 Q4,1951,2.425000222346
"13",1952 Q2,1952,-0.371648954455495
"14",1952 Q4,1952,-1.00027156720595
"15",1953 Q2,1953,-1.64416326397969
"16",1953 Q4,1953,-1.22059056795036
"17",1954 Q2,1954,-0.0872981286344832
"18",1954 Q4,1954,0.174520114103061
"19",1955 Q2,1955,0.52401866635563
"20",1955 Q4,1955,0.607377138356746
"21",1956 Q2,1956,0.607377138356746
"22",1956 Q4,1956,1.09844788452982
"23",1957 Q2,1957,1.41492164928714
"24",1957 Q4,1957,0.740439417420991
"25",1958 Q2,1958,0.404040953700502
"26",1958 Q4,1958,1.0454457903859
"27",1959 Q2,1959,0.883894866720514
"28",1959 Q4,1959,1.18813278867522
"29",1960 Q2,1960,0.631913635147807
"30",1960 Q4,1960,0.70450389232084
"31",1961 Q2,1961,1.16960397631907
"32",1961 Q4,1961,1.23840591997215
"33",1962 Q2,1962,1.22816848458704
"34",1962 Q4,1962,1.21895555245857
"35",1963 Q2,1963,1.21667387598787
"36",1963 Q4,1963,1.20539243438129
"37",1964 Q2,1964,1.47332315129836
"38",1964 Q4,1964,1.37301928119022
"39",1965 Q2,1965,1.0919125775315
"40",1965 Q4,1965,1.88430878014794
"41",1966 Q2,1966,2.19789067187754
"42",1966 Q4,1966,2.5863510589919
"43",1967 Q2,1967,2.73755333001731
"44",1967 Q4,1967,3.22405985883965
"45",1968 Q2,1968,3.36235035715688
"46",1968 Q4,1968,3.28160698866018
"47",1969 Q2,1969,3.95553699050621
"48",1969 Q4,1969,3.92799741684398
"49",1970 Q2,1970,4.52301746495785
"50",1970 Q4,1970,4.34386554114274
"51",1971 Q2,1971,4.71248848503709
"52",1971 Q4,1971,3.52600629564801
"53",1972 Q2,1972,4.17547854015083
"54",1972 Q4,1972,4.02531123583305
"55",1973 Q2,1973,4.70763051979493
"56",1973 Q4,1973,5.96767952838846
"57",1974 Q2,1974,7.940147648773
"58",1974 Q4,1974,8.02435310500531
"59",1975 Q2,1975,6.35134057223263
"60",1975 Q4,1975,6.69657067951821
"61",1976 Q2,1976,6.50214603894854
"62",1976 Q4,1976,5.9911560887425
"63",1977 Q2,1977,6.80644525176541
"64",1977 Q4,1977,7.06175672139535
"65",1978 Q2,1978,7.54126037803875
"66",1978 Q4,1978,8.16877909681999
"67",1979 Q2,1979,9.68134550793671
"68",1979 Q4,1979,10.6380403558571
"69",1980 Q2,1980,10.7605416661362
"70",1980 Q4,1980,11.3441209218453
"71",1981 Q2,1981,9.36732949755994
"72",1981 Q4,1981,8.25953048848138
"73",1982 Q2,1982,6.37027868524145
"74",1982 Q4,1982,5.63552654552772
"75",1983 Q2,1983,5.43343509633294
"76",1983 Q4,1983,5.96521807183512
"77",1984 Q2,1984,6.33639326147506
"78",1984 Q4,1984,5.05556294205496
"79",1985 Q2,1985,5.02618347808879
"80",1985 Q4,1985,4.35831559615831
"81",1986 Q2,1986,4.12522739011445
"82",1986 Q4,1986,4.16325585114761
"83",1987 Q2,1987,4.99598620838944
"84",1987 Q4,1987,4.72306074298245
"85",1988 Q2,1988,5.1592139566627
"86",1988 Q4,1988,5.38482639441842
"87",1989 Q2,1989,5.45374172651742
"88",1989 Q4,1989,4.59045975837213
"89",1990 Q2,1990,4.73483627773144
"90",1990 Q4,1990,4.32460204861194
"91",1991 Q2,1991,4.34221614502777
"92",1991 Q4,1991,3.88987488885331
"93",1992 Q2,1992,4.00475011292754
"94",1992 Q4,1992,3.60149726807091
"95",1993 Q2,1993,3.81517659643764
"96",1993 Q4,1993,3.30776021646342
"97",1994 Q2,1994,3.72879416371994
"98",1994 Q4,1994,3.93493387885471
"99",1995 Q2,1995,3.81059988100469
"100",1995 Q4,1995,3.26428982684854
"101",1996 Q2,1996,3.272790523528
"102",1996 Q4,1996,3.35435174901226
"103",1997 Q2,1997,3.28502293589965
"104",1997 Q4,1997,2.83685334489681
"105",1998 Q2,1998,2.76151670329741
"106",1998 Q4,1998,2.5287319714649
"107",1999 Q2,1999,2.84716740813122
"108",1999 Q4,1999,2.69811088311078
"109",2000 Q2,2000,2.87872497944379
"110",2000 Q4,2000,2.83305066262258
"111",2001 Q2,2001,2.81473228924289
"112",2001 Q4,2001,2.41846394608363
"113",2002 Q2,2002,2.52621890849731
"114",2002 Q4,2002,2.42485658370626
"115",2003 Q2,2003,2.01972666063099
"116",2003 Q4,2003,2.35053556736533
"117",2004 Q2,2004,2.41735365340761
"118",2004 Q4,2004,2.21212429114086
"119",2005 Q2,2005,2.49186552129261
"120",2005 Q4,2005,2.12900998034726
"121",2006 Q2,2006,2.72860190392565
"122",2006 Q4,2006,3.11411761802294
"123",2007 Q2,2007,2.75301647425827
"124",2007 Q4,2007,3.18010545313321
"125",2008 Q2,2008,3.2231150937589
"126",2008 Q4,2008,1.0923051373207
"127",2009 Q2,2009,2.00146313342682
"128",2009 Q4,2009,2.10341545454256
"129",2010 Q2,2010,1.82154398913417
"130",2010 Q4,2010,1.79287670900905
"131",2011 Q2,2011,2.20370310467297
"132",2011 Q4,2011,2.28451822102071
"133",2012 Q2,2012,2.27346245372937
"134",2012 Q4,2012,2.1852262988526
"135",2013 Q2,2013,2.55046236576968
"136",2013 Q4,2013,2.21639153491653
"137",2014 Q2,2014,2.31376553999931
"138",2014 Q4,2014,2.00798248308969
"139",2015 Q2,2015,2.41570786616299
"140",2015 Q4,2015,2.28424733022097
"141",2016 Q2,2016,2.36210283156089
"142",2016 Q4,2016,2.62786461569915
"143",2017 Q2,2017,2.60741977995718
"144",2017 Q4,2017,2.56218979972767
"145",2018 Q2,2018,2.54717899687025
"146",2018 Q4,2018,2.47668909209571
"147",2019 Q2,2019,2.11890421915015
"148",2019 Q4,2019,2.32059281961252
"149",2020 Q2,2020,2.28705015862092
"150",2020 Q4,2020,2.51141760348865
"151",2021 Q2,2021,2.53843275272407
"152",2021 Q4,2021,3.49766697803631
"153",2022 Q2,2022,4.2690959865447
"154",2022 Q4,2022,3.72754862878724
"155",2023 Q2,2023,2.79626961953356
"156",2023 Q4,2023,2.61488454519538
