"","FirstDate","gdpg","gap1","gap2","unrate","lshr","xli","xli2","fac","rate","yield","quarter","group"
"1",1952-04-01,0.00214070506745593,62.5887809268789,2728.06170791977,2.9,112.163,NA,NA,NA,NA,NA,1952 Q2,1952
"2",1952-07-01,0.00718642092533872,62.6226570601379,2760.01995793316,3.2,112.843,NA,NA,NA,1.765,1.839,1952 Q3,1952
"3",1952-10-01,0.0323117626350774,62.7364474393937,2803.83194581572,3,112.535,NA,NA,NA,1.522,1.988,1952 Q4,1952
"4",1953-01-01,0.0184197104588184,63.2493507991184,2850.32389568199,2.9,112.744,NA,NA,NA,1.954,1.998,1953 Q1,1953
"5",1953-04-01,0.00770118473997086,63.5426720117491,2892.91846771737,2.7,113.05,NA,NA,NA,1.989,2.074,1953 Q2,1953
"6",1953-07-01,-0.00564104051168291,63.6655092406251,2924.16174944334,2.6,113.344,NA,NA,NA,1.674,2.421,1953 Q3,1953
"7",1953-10-01,-0.0152529238738423,63.5755205822498,2939.79510664195,3.1,114.724,NA,NA,NA,1.395,2.024,1953 Q4,1953
"8",1954-01-01,-0.00478714498995375,63.3325171174047,2947.76135300191,4.9,115.071,NA,NA,NA,1.294,1.574,1954 Q1,1954
"9",1954-04-01,0.00109352839220297,63.2563461783785,2952.48562240496,5.9,114.24,NA,NA,NA,0.984,1.058,1954 Q2,1954
"10",1954-07-01,0.0112335607433122,63.2737418806237,2960.40870497817,5.8,113.252,NA,NA,NA,0.598,0.732,1954 Q3,1954
"11",1954-10-01,0.019380618135119,63.4525823276433,2976.27581755885,5.7,112.591,NA,NA,NA,0.882,0.939,1954 Q4,1954
"12",1955-01-01,0.0281655613591675,63.7617188165649,3004.91597558022,4.9,110.692,NA,NA,NA,0.964,1.139,1955 Q1,1955
"13",1955-04-01,0.0161444244585288,64.212321399439,3038.02920966197,4.7,110.882,NA,NA,NA,1.329,1.558,1955 Q2,1955
"14",1955-07-01,0.013417791066362,64.4713209542846,3073.5328591834,4,111.309,NA,NA,NA,1.329,1.839,1955 Q3,1955
"15",1955-10-01,0.0059886932808544,64.6869747091519,3106.50910309133,4.3,111.626,NA,NA,NA,2.131,1.998,1955 Q4,1955
"16",1956-01-01,-0.00388797526893081,64.7833425535387,3130.95699969841,4,113.688,NA,NA,NA,2.446,2.653,1956 Q1,1956
"17",1956-04-01,0.00823178729922624,64.7207705213753,3155.37890631812,4,114.618,NA,NA,NA,2.157,2.519,1956 Q2,1956
"18",1956-07-01,-0.000897436447268075,64.8532864577309,3174.07238959108,4.4,114.925,NA,NA,NA,2.232,2.55,1956 Q3,1956
"19",1956-10-01,0.0163251299354378,64.8388328756151,3198.64604962415,3.9,114.944,NA,NA,NA,2.711,3.181,1956 Q4,1956
"20",1957-01-01,0.00638226864536564,65.1020076489709,3222.254567144,4.2,113.946,NA,NA,NA,3.041,3.444,1957 Q1,1957
"21",1957-04-01,-0.00219380703071216,65.2050400919434,3239.50658156298,3.9,114.836,NA,NA,NA,2.883,3.379,1957 Q2,1957
