"","quarter","spf_year"
"1",1968 Q4,NA
"2",1969 Q1,NA
"3",1969 Q2,NA
"4",1969 Q3,NA
"5",1969 Q4,NA
"6",1970 Q1,NA
"7",1970 Q2,NA
"8",1970 Q3,NA
"9",1970 Q4,NA
"10",1971 Q1,NA
"11",1971 Q2,NA
"12",1971 Q3,NA
"13",1971 Q4,NA
"14",1972 Q1,NA
"15",1972 Q2,NA
"16",1972 Q3,NA
"17",1972 Q4,NA
"18",1973 Q1,NA
"19",1973 Q2,NA
"20",1973 Q3,NA
"21",1973 Q4,NA
"22",1974 Q1,NA
"23",1974 Q2,NA
"24",1974 Q3,NA
"25",1974 Q4,NA
"26",1975 Q1,NA
"27",1975 Q2,NA
"28",1975 Q3,NA
"29",1975 Q4,NA
"30",1976 Q1,NA
"31",1976 Q2,NA
"32",1976 Q3,NA
"33",1976 Q4,NA
"34",1977 Q1,NA
"35",1977 Q2,NA
"36",1977 Q3,NA
"37",1977 Q4,NA
"38",1978 Q1,NA
"39",1978 Q2,NA
"40",1978 Q3,NA
"41",1978 Q4,NA
"42",1979 Q1,NA
"43",1979 Q2,NA
"44",1979 Q3,NA
"45",1979 Q4,NA
"46",1980 Q1,NA
"47",1980 Q2,NA
"48",1980 Q3,NA
"49",1980 Q4,NA
"50",1981 Q1,NA
"51",1981 Q2,NA
"52",1981 Q3,7.9
"53",1981 Q4,8.5
"54",1982 Q1,6.8
"55",1982 Q2,5.9
"56",1982 Q3,6.2
"57",1982 Q4,5.25
"58",1983 Q1,5.25
"59",1983 Q2,4.9
"60",1983 Q3,4.5
"61",1983 Q4,5
"62",1984 Q1,5.5
"63",1984 Q2,5.6
"64",1984 Q3,4.75
"65",1984 Q4,4.3
"66",1985 Q1,3.6
"67",1985 Q2,4.3
"68",1985 Q3,4.1
"69",1985 Q4,3.6
"70",1986 Q1,3.3
"71",1986 Q2,3.3
"72",1986 Q3,3.3
"73",1986 Q4,3.3
"74",1987 Q1,4
"75",1987 Q2,4.5
"76",1987 Q3,4.5
"77",1987 Q4,4.2
"78",1988 Q1,4.4
"79",1988 Q2,4.8
"80",1988 Q3,5
"81",1988 Q4,5
"82",1989 Q1,4.6
"83",1989 Q2,4.8
"84",1989 Q3,4.65
"85",1989 Q4,4.2
