"","quarter","group","liv_year","mich_year","spf_year"
"1",1946 Q2,1946,NA,NA,NA
"2",1946 Q4,1946,-6.54373976025884,NA,NA
"3",1947 Q2,1947,-7.37630851008122,NA,NA
"4",1947 Q4,1947,0.729930248161104,NA,NA
"5",1948 Q2,1948,-0.177357421601609,NA,NA
"6",1948 Q4,1948,-3.87599898094946,NA,NA
"7",1949 Q2,1949,-5.88583570063541,NA,NA
"8",1949 Q4,1949,-2.09902758918359,NA,NA
"9",1950 Q2,1950,0.417537141048019,NA,NA
"10",1950 Q4,1950,4.85722042731904,NA,NA
"11",1951 Q2,1951,3.14608724980037,NA,NA
"12",1951 Q4,1951,2.425000222346,NA,NA
"13",1952 Q2,1952,-0.371648954455495,NA,NA
"14",1952 Q4,1952,-1.00027156720595,NA,NA
"15",1953 Q2,1953,-1.64416326397969,NA,NA
"16",1953 Q4,1953,-1.22059056795036,NA,NA
"17",1954 Q2,1954,-0.0872981286344832,NA,NA
"18",1954 Q4,1954,0.174520114103061,NA,NA
"19",1955 Q2,1955,0.52401866635563,NA,NA
"20",1955 Q4,1955,0.607377138356746,NA,NA
"21",1956 Q2,1956,0.607377138356746,NA,NA
"22",1956 Q4,1956,1.09844788452982,NA,NA
"23",1957 Q2,1957,1.41492164928714,NA,NA
"24",1957 Q4,1957,0.740439417420991,NA,NA
"25",1958 Q2,1958,0.404040953700502,NA,NA
"26",1958 Q4,1958,1.0454457903859,NA,NA
"27",1959 Q2,1959,0.883894866720514,NA,NA
"28",1959 Q4,1959,1.18813278867522,NA,NA
"29",1960 Q2,1960,0.631913635147807,NA,NA
"30",1960 Q4,1960,0.70450389232084,NA,NA
"31",1961 Q2,1961,1.16960397631907,NA,NA
"32",1961 Q4,1961,1.23840591997215,NA,NA
"33",1962 Q2,1962,1.22816848458704,NA,NA
"34",1962 Q4,1962,1.21895555245857,NA,NA
"35",1963 Q2,1963,1.21667387598787,NA,NA
"36",1963 Q4,1963,1.20539243438129,NA,NA
"37",1964 Q2,1964,1.47332315129836,NA,NA
"38",1964 Q4,1964,1.37301928119022,NA,NA
"39",1965 Q2,1965,1.0919125775315,NA,NA
"40",1965 Q4,1965,1.88430878014794,NA,NA
"41",1966 Q2,1966,2.19789067187754,NA,NA
"42",1966 Q4,1966,2.5863510589919,NA,NA
"43",1967 Q2,1967,2.73755333001731,NA,NA
"44",1967 Q4,1967,3.22405985883965,NA,NA
"45",1968 Q2,1968,3.36235035715688,NA,NA
"46",1968 Q4,1968,3.28160698866018,NA,NA
"47",1969 Q1,1969,NA,NA,NA
"48",1969 Q2,1969,3.95553699050621,NA,NA
"49",1969 Q3,1969,NA,NA,NA
"50",1969 Q4,1969,3.92799741684398,NA,NA
"51",1970 Q1,1970,NA,NA,NA
"52",1970 Q2,1970,4.52301746495785,NA,NA
"53",1970 Q3,1970,NA,NA,NA
"54",1970 Q4,1970,4.34386554114274,NA,NA
"55",1971 Q1,1971,NA,NA,NA
"56",1971 Q2,1971,4.71248848503709,NA,NA
"57",1971 Q3,1971,NA,NA,NA
"58",1971 Q4,1971,3.52600629564801,NA,NA
"59",1972 Q1,1972,NA,NA,NA
"60",1972 Q2,1972,4.17547854015083,NA,NA
"61",1972 Q3,1972,NA,NA,NA
"62",1972 Q4,1972,4.02531123583305,NA,NA
"63",1973 Q1,1973,NA,NA,NA
"64",1973 Q2,1973,4.70763051979493,NA,NA
"65",1973 Q3,1973,NA,NA,NA
"66",1973 Q4,1973,5.96767952838846,NA,NA
"67",1974 Q1,1974,NA,NA,NA
"68",1974 Q2,1974,7.940147648773,NA,NA
"69",1974 Q3,1974,NA,NA,NA
"70",1974 Q4,1974,8.02435310500531,NA,NA
"71",1975 Q1,1975,NA,NA,NA
"72",1975 Q2,1975,6.35134057223263,NA,NA
"73",1975 Q3,1975,NA,NA,NA
"74",1975 Q4,1975,6.69657067951821,NA,NA
"75",1976 Q1,1976,NA,NA,NA
"76",1976 Q2,1976,6.50214603894854,NA,NA
"77",1976 Q3,1976,NA,NA,NA
"78",1976 Q4,1976,5.9911560887425,NA,NA
"79",1977 Q1,1977,NA,5.96666666666667,NA
"80",1977 Q2,1977,6.80644525176541,6.7,NA
"81",1977 Q3,1977,NA,7.4,NA
"82",1977 Q4,1977,7.06175672139535,7.4,NA
"83",1978 Q1,1978,NA,8.63333333333333,NA
"84",1978 Q2,1978,7.54126037803875,9.8,NA
"85",1978 Q3,1978,NA,9.8,NA
"86",1978 Q4,1978,8.16877909681999,9.63333333333333,NA
"87",1979 Q1,1979,NA,10.2,NA
"88",1979 Q2,1979,9.68134550793671,9.06666666666667,NA
"89",1979 Q3,1979,NA,8.76666666666667,NA
"90",1979 Q4,1979,10.6380403558571,9.3,NA
"91",1980 Q1,1980,NA,8.43333333333333,NA
"92",1980 Q2,1980,10.7605416661362,7.46666666666667,NA
