"","quarter","FirstDate","xli","xli2","group"
"1",1959 Q1,1959-02-01,2.9,NA,1959
"2",1959 Q2,1959-04-01,2.9,NA,1959
"3",1959 Q3,1959-07-01,2.9,NA,1959
"4",1959 Q4,1959-10-01,2.9,NA,1959
"5",1960 Q1,1960-01-01,2.9,NA,1960
"6",1960 Q2,1960-04-01,0.3,NA,1960
"7",1960 Q3,1960-07-01,-2.7,NA,1960
"8",1960 Q4,1960-10-01,-0.8,NA,1960
"9",1961 Q1,1961-01-01,1.2,0.31,1961
"10",1961 Q2,1961-04-01,3.1,0.18,1961
"11",1961 Q3,1961-07-01,6.1,0.18,1961
"12",1961 Q4,1961-10-01,6.1,0.21,1961
"13",1962 Q1,1962-01-01,6.3,0.23,1962
"14",1962 Q2,1962-04-01,4.9,0.16,1962
"15",1962 Q3,1962-07-01,2.9,0.16,1962
"16",1962 Q4,1962-10-01,4.2,0.16,1962
"17",1963 Q1,1963-01-01,5.2,0.13,1963
"18",1963 Q2,1963-04-01,6.7,0.12,1963
"19",1963 Q3,1963-07-01,4.8,0.17,1963
"20",1963 Q4,1963-10-01,4.4,0.09,1963
"21",1964 Q1,1964-01-01,5.1,0.16,1964
"22",1964 Q2,1964-04-01,3.5,0.17,1964
"23",1964 Q3,1964-07-01,5.5,0.13,1964
"24",1964 Q4,1964-10-01,4.9,0.26,1964
"25",1965 Q1,1965-01-01,5,0.16,1965
"26",1965 Q2,1965-04-01,5.4,0.21,1965
"27",1965 Q3,1965-07-01,5.2,0.17,1965
"28",1965 Q4,1965-10-01,6.9,0.12,1965
"29",1966 Q1,1966-01-01,8.2,0.15,1966
"30",1966 Q2,1966-04-01,5.8,0.24,1966
"31",1966 Q3,1966-07-01,-0.1,0.32,1966
"32",1966 Q4,1966-10-01,2.3,0.39,1966
"33",1967 Q1,1967-01-01,1.7,0.16,1967
"34",1967 Q2,1967-04-01,0.1,0.2,1967
"35",1967 Q3,1967-07-01,5.7,0.12,1967
"36",1967 Q4,1967-10-01,6.4,0.13,1967
"37",1968 Q1,1968-01-01,6.2,0.26,1968
"38",1968 Q2,1968-04-01,4.8,0.17,1968
"39",1968 Q3,1968-07-01,1.8,0.16,1968
"40",1968 Q4,1968-10-01,5.1,0.1,1968
"41",1969 Q1,1969-01-01,5.2,0.15,1969
"42",1969 Q2,1969-04-01,1.8,0.16,1969
"43",1969 Q3,1969-07-01,-2.1,0.28,1969
"44",1969 Q4,1969-10-01,-1.6,0.24,1969
"45",1970 Q1,1970-01-01,-3,0.49,1970
"46",1970 Q2,1970-04-01,-1.8,0.26,1970
"47",1970 Q3,1970-07-01,-2.5,0.25,1970
"48",1970 Q4,1970-10-01,2.4,0.14,1970
"49",1971 Q1,1971-01-01,3.5,0.07,1971
"50",1971 Q2,1971-04-01,5.4,0.07,1971
"51",1971 Q3,1971-07-01,6.3,0.04,1971
"52",1971 Q4,1971-10-01,4.6,0.06,1971
"53",1972 Q1,1972-01-01,8.3,0.03,1972
"54",1972 Q2,1972-04-01,5.9,0.05,1972
"55",1972 Q3,1972-07-01,7.1,0.04,1972
"56",1972 Q4,1972-10-01,9.8,0.04,1972
"57",1973 Q1,1973-01-01,9.1,0.06,1973
"58",1973 Q2,1973-04-01,3.2,0.15,1973
"59",1973 Q3,1973-07-01,-0.9,0.14,1973
"60",1973 Q4,1973-10-01,-1.8,0.39,1973
"61",1974 Q1,1974-01-01,0.2,0.41,1974
"62",1974 Q2,1974-04-01,-1.2,0.35,1974
"63",1974 Q3,1974-07-01,-8.7,0.47,1974
"64",1974 Q4,1974-10-01,-9,0.52,1974
"65",1975 Q1,1975-01-01,-5.8,0.48,1975
"66",1975 Q2,1975-04-01,-0.3,0.21,1975
"67",1975 Q3,1975-07-01,5.8,0.17,1975
"68",1975 Q4,1975-10-01,5.6,0.24,1975
"69",1976 Q1,1976-01-01,6.5,0.2,1976
"70",1976 Q2,1976-04-01,6.6,0.27,1976
"71",1976 Q3,1976-07-01,6.7,0.22,1976
"72",1976 Q4,1976-10-01,7,0.14,1976
"73",1977 Q1,1977-01-01,6.4,0.19,1977
"74",1977 Q2,1977-04-01,8.6,0.09,1977
"75",1977 Q3,1977-07-01,6.5,0.1,1977
"76",1977 Q4,1977-10-01,6.2,0.08,1977
"77",1978 Q1,1978-01-01,5.3,0.13,1978
"78",1978 Q2,1978-04-01,6.8,0.06,1978
"79",1978 Q3,1978-07-01,3.5,0.12,1978
"80",1978 Q4,1978-10-01,3.1,0.09,1978
"81",1979 Q1,1979-01-01,0.3,0.35,1979
"82",1979 Q2,1979-04-01,3.9,0.22,1979
