"","quarter","FirstDate","fac","group"
"1",1959 Q1,1959-02-01,0.73756815,1959
"2",1959 Q2,1959-04-01,0.82673564,1959
"3",1959 Q3,1959-07-01,0.063105074,1959
"4",1959 Q4,1959-10-01,-0.1422055,1959
"5",1960 Q1,1960-01-01,0.72083744,1960
"6",1960 Q2,1960-04-01,0.24027671,1960
"7",1960 Q3,1960-07-01,-0.23755341,1960
"8",1960 Q4,1960-10-01,-0.17727849,1960
"9",1961 Q1,1961-01-01,-0.019195389,1961
"10",1961 Q2,1961-04-01,0.3894376,1961
"11",1961 Q3,1961-07-01,0.35227479,1961
"12",1961 Q4,1961-10-01,0.64007809,1961
"13",1962 Q1,1962-01-01,0.017142597,1962
"14",1962 Q2,1962-04-01,0.46061833,1962
"15",1962 Q3,1962-07-01,0.29881783,1962
"16",1962 Q4,1962-10-01,0.10545559,1962
"17",1963 Q1,1963-01-01,0.19977163,1963
"18",1963 Q2,1963-04-01,0.62443536,1963
"19",1963 Q3,1963-07-01,0.2283507,1963
"20",1963 Q4,1963-10-01,0.48752555,1963
"21",1964 Q1,1964-01-01,0.34343366,1964
"22",1964 Q2,1964-04-01,0.58148736,1964
"23",1964 Q3,1964-07-01,0.57910564,1964
"24",1964 Q4,1964-10-01,-0.10068004,1964
"25",1965 Q1,1965-01-01,0.4417973,1965
"26",1965 Q2,1965-04-01,0.45671462,1965
"27",1965 Q3,1965-07-01,0.59891476,1965
"28",1965 Q4,1965-10-01,0.52540609,1965
"29",1966 Q1,1966-01-01,0.52984968,1966
"30",1966 Q2,1966-04-01,0.31715009,1966
"31",1966 Q3,1966-07-01,0.23854742,1966
"32",1966 Q4,1966-10-01,0.2062513,1966
"33",1967 Q1,1967-01-01,0.25913855,1967
"34",1967 Q2,1967-04-01,0.075225392,1967
"35",1967 Q3,1967-07-01,0.090833083,1967
"36",1967 Q4,1967-10-01,0.18720774,1967
"37",1968 Q1,1968-01-01,-0.15648813,1968
"38",1968 Q2,1968-04-01,0.26521933,1968
"39",1968 Q3,1968-07-01,0.091354599,1968
"40",1968 Q4,1968-10-01,0.27742368,1968
"41",1969 Q1,1969-01-01,0.2438964,1969
"42",1969 Q2,1969-04-01,-0.013381446,1969
"43",1969 Q3,1969-07-01,0.092920198,1969
"44",1969 Q4,1969-10-01,-0.045289253,1969
"45",1970 Q1,1970-01-01,-0.67932645,1970
"46",1970 Q2,1970-04-01,-0.46197704,1970
"47",1970 Q3,1970-07-01,-0.12198694,1970
"48",1970 Q4,1970-10-01,-0.94669867,1970
"49",1971 Q1,1971-01-01,0.15125275,1971
"50",1971 Q2,1971-04-01,0.25742431,1971
"51",1971 Q3,1971-07-01,0.1062416,1971
"52",1971 Q4,1971-10-01,0.24937804,1971
"53",1972 Q1,1972-01-01,0.72184893,1972
"54",1972 Q2,1972-04-01,0.61627916,1972
"55",1972 Q3,1972-07-01,0.1750777,1972
"56",1972 Q4,1972-10-01,0.81917265,1972
"57",1973 Q1,1973-01-01,0.42735177,1973
