"","FirstDate","inflation_punew","inflation_puxhs","inflation_puxx","inflation_pce","quarter","group"
"1",1947-04-01,0.0239201837176518,0.0255333020051648,NA,0.00792970885034143,1947 Q2,1947
"2",1947-07-01,0.0104002746177894,0.00836824967051658,NA,0.0184583984333967,1947 Q3,1947
"3",1947-10-01,0.030130768489299,0.0287494132859858,NA,0.0246412201111356,1947 Q4,1947
"4",1948-01-01,0.0330573135504008,0.0396877482672425,NA,0.0109585656692933,1948 Q1,1948
"5",1948-04-01,0.00589475391134923,0.00388350002639761,NA,0.0103569175633839,1948 Q2,1948
"6",1948-07-01,0.0240575683720021,0.0229895182246986,NA,0.0151784348735161,1948 Q3,1948
"7",1948-10-01,-0.00369534397112415,-0.0037950709685515,NA,-0.00309683814418676,1948 Q4,1948
"8",1949-01-01,-0.01241737809487,-0.0191944472561472,NA,-0.00782439121531249,1949 Q1,1949
"9",1949-04-01,-0.00375548115073088,-0.00388350002639763,NA,-0.00611032613456565,1949 Q2,1949
"10",1949-07-01,-0.00923988094134554,-0.0117418178766833,NA,-0.0058233745931766,1949 Q3,1949
"11",1949-10-01,-0.00126662461519283,-0.00394477829101623,NA,-0.000973867955560583,1949 Q4,1949
"12",1950-01-01,-0.00678256097391438,-0.0079365495957363,NA,-0.00178789157743625,1950 Q1,1950
"13",1950-04-01,0.00593725238596379,0.00397614837963942,NA,0.00470665479760253,1950 Q2,1950
"14",1950-07-01,0.0176031368570387,0.0196469973837964,NA,0.0206721566944078,1950 Q3,1950
"15",1950-10-01,0.0177068657557008,0.019268418865877,NA,0.0177635732707824,1950 Q4,1950
"16",1951-01-01,0.0352883447355603,0.0374575625349004,NA,0.0314418968151773,1951 Q1,1951
"17",1951-04-01,0.0210534091978325,0.0254097155253682,NA,0.0081203453728892,1951 Q2,1951
"18",1951-07-01,-0.000385876910055426,-0.00359066813072848,NA,0.00134700312217517,1951 Q3,1951
"19",1951-10-01,0.0096025320149793,0.0107335556431086,NA,0.0131497753064419,1951 Q4,1951
"20",1952-01-01,0.0110246317153103,0.0106195688274601,NA,0.00419812805857505,1952 Q1,1952
"21",1952-04-01,0.000378000382501197,-0.0035273405179683,NA,-0.000294031169422052,1952 Q2,1952
"22",1952-07-01,0.0082800623606133,0.010544913176615,NA,0.00652184189817202,1952 Q3,1952
"23",1952-10-01,0.000374742369009963,-0.00350263055120211,NA,0.0016785262105537,1952 Q4,1952
"24",1953-01-01,-0.00187511774424441,0,NA,0.00378457511399967,1953 Q1,1953
"25",1953-04-01,0.00187511774424438,0,NA,0.00145180048728752,1953 Q2,1953
"26",1953-07-01,0.00373972014008444,0.00350263055120207,NA,0.00542555676775598,1953 Q3,1953
"27",1953-10-01,0.00595461379848875,0.00349040493976835,NA,0.0043911815152588,1953 Q4,1953
"28",1954-01-01,-0.000371126372788108,0,NA,0.00501541496982627,1954 Q1,1954
"29",1954-04-01,-0.00297397988712651,-0.00349040493976849,NA,-0.00135884161799008,1954 Q2,1954
"30",1954-07-01,0,0,NA,-0.00329749402735607,1954 Q3,1954
"31",1954-10-01,-0.00522584242664655,-0.010544913176615,NA,-0.00107762501897295,1954 Q4,1954
"32",1955-01-01,0.00186950886381614,0,NA,0.00322939747452544,1955 Q1,1955
"33",1955-04-01,0.000746826024256116,0,NA,0.00100257814184265,1955 Q2,1955
"34",1955-07-01,-0.00112044829648961,0,NA,0.00385769874041013,1955 Q3,1955
"35",1955-10-01,0.00223964259350466,0.00352734051796844,NA,0.00270578347935063,1955 Q4,1955
"36",1956-01-01,0.000372786584000237,-0.0035273405179683,NA,0.00411581619900417,1956 Q1,1956
"37",1956-04-01,0.00372024238597481,0.00704228262541295,NA,0.00670503976523525,1956 Q2,1956
"38",1956-07-01,0.0132794278967396,0.0139375078437817,NA,0.00973022272067715,1956 Q3,1956
"39",1956-10-01,0.00802924021623606,0.00689657905906046,NA,0.00583456541605478,1956 Q4,1956
"40",1957-01-01,0.00579921886235129,0.00684934184557477,NA,0.00896310468277678,1957 Q1,1957
"41",1957-04-01,0.00935258615825069,0.010186845306993,0.0104712998672954,0.00636312912953602,1957 Q2,1957
"42",1957-07-01,0.00926592516893574,0.00673403218134412,0.00692044284457376,0.00808345942854092,1957 Q3,1957
"43",1957-10-01,0.00460096369949778,0.00335008688528181,0.00687287928776205,0.00519586849967868,1957 Q4,1957
"44",1958-01-01,0.011236073266926,0.0132892321186827,0.00341880674878568,0.0122413649434618,1958 Q1,1958
"45",1958-04-01,0.010420379110893,0.00985229644301164,0.0068027473227524,0.00185984776294105,1958 Q2,1958
"46",1958-07-01,-0.00172920672519393,0,0.00338409798424049,0.000729709143792614,1958 Q3,1958
"47",1958-10-01,0.000692041550110715,0,0.00337268447863916,-0.000397957158531846,1958 Q4,1958
"48",1959-01-01,0.00345304210505802,0.00326264563481637,0.00671143458798678,0.00674382721143498,1959 Q1,1959
"49",1959-04-01,-0.00103466124077633,0,0.00333890126551463,0.00407707541810487,1959 Q2,1959
"50",1959-07-01,0.005848975903965,0.00649352931054831,0.00664454271866851,0.00601938483290492,1959 Q3,1959
"51",1959-10-01,0.00683763347760419,0.00323102058144654,0.00660068403135209,0.00546449447207875,1959 Q4,1959
"52",1960-01-01,0.000681198936423163,0.00322061470004216,0.00328407520119002,0.0012966806796097,1960 Q1,1960
"53",1960-04-01,0.00577153189270489,0.00321027563024819,0.00327332534496911,0.00523442986493222,1960 Q2,1960
"54",1960-07-01,0.000338466748873474,0.00320000273067085,0,0.00373134761285818,1960 Q3,1960
"55",1960-10-01,0.00674538813953143,0.00318979536810008,0.00651468102119367,0.00442095866621794,1960 Q4,1960
"56",1961-01-01,0.00302064334392128,0.00634922767865874,0,0.00185226636165926,1961 Q1,1961
"57",1961-04-01,-0.00100586764558011,0,0.00324149392417102,-0.000127632418807471,1961 Q2,1961
"58",1961-07-01,0.00368324541629659,0.00315956029036852,0.00323102058144654,0.00363115544705289,1961 Q3,1961
"59",1961-10-01,0.0020033395681751,0,0.00322061470004216,0.00101690615093405,1961 Q4,1961
"60",1962-01-01,0.00199933422148226,0.0031496089028962,0.00321027563024819,0.00431035150112226,1962 Q1,1962
"61",1962-04-01,0.00564316850264657,0.0062696130135954,0.00320000273067085,0.00353580365843043,1962 Q2,1962
"62",1962-07-01,0.000330961446012823,-0.0031298930089277,0.00318979536810008,0.0027065319432914,1962 Q3,1962
"63",1962-10-01,0.00528054032303335,0.00936044275956389,0.00317965291737981,0.00301261760518763,1962 Q4,1962
"64",1963-01-01,0.00197303582585839,0,0,0.00287860023556285,1963 Q1,1963
"65",1963-04-01,0.00131319782496039,0,0.00632913505164753,0.00162337697989077,1963 Q2,1963
"66",1963-07-01,0.00686613781319927,0.00927363678532903,0.0031496089028962,0.00479229172960932,1963 Q3,1963
"67",1963-10-01,0.00195312562088207,0,0.0062696130135954,0.0037183979382993,1963 Q4,1963
"68",1964-01-01,0.00615985089239312,0.00613498856751593,0.00623054975063616,0.00469020854856645,1964 Q1,1964
"69",1964-04-01,0.000323153985685045,0,0,0.00215258854914196,1964 Q2,1964
"70",1964-07-01,0.00225915861778766,0.00305343748689025,0.00310077767824796,0.00331207368524501,1964 Q3,1964
"71",1964-10-01,0.00321854156179812,0.00304414238122827,0.00309119256967288,0.00324010676249116,1964 Q4,1964
"72",1965-01-01,0.00512821636691953,0.00303490369515411,0.00615386557437829,0.00322964236729109,1965 Q1,1965
"73",1965-04-01,0.00319183162777623,0.00302572091653711,0.00306278953054573,0.00503687686844347,1965 Q2,1965
"74",1965-07-01,0.00635326152260944,0.00902261759963733,0,0.00374600160119498,1965 Q3,1965
"75",1965-10-01,0.00221413976268917,0.00298953884836599,0.00305343748689025,0.00301078086168479,1965 Q4,1965
"76",1966-01-01,0.00724070533182921,0.00595239852729535,0.00607904607638219,0.00772620858940949,1966 Q1,1966
"77",1966-04-01,0.0124689894797337,0.0147278067102434,0.00904983551991786,0.00814051258553168,1966 Q2,1966
"78",1966-07-01,0.00525259974835096,0.00291971010333462,0.00896866998276054,0.0076050477078538,1966 Q3,1966
"79",1966-10-01,0.0122513017805204,0.0115943327809194,0.0118344576470028,0.00772249786497705,1966 Q4,1966
"80",1967-01-01,0.00152091284070652,0.00287769982761497,0.00586511945239806,0.00290968547929002,1967 Q1,1967
"81",1967-04-01,0.00606062461169117,0.00286944242795296,0.00583092031079314,0.00469579691242518,1967 Q2,1967
"82",1967-07-01,0.00902261759963733,0.00855925339567013,0.00868312257346086,0.00921134895323716,1967 Q3,1967
"83",1967-10-01,0.00894193737566143,0.0112995552539332,0.0114614435190066,0.00855925339567013,1967 Q4,1967
"84",1968-01-01,0.011799546931155,0.0111733005981253,0.01133156600955,0.0105689513492341,1968 Q1,1968
"85",1968-04-01,0.00875918008988155,0.00829880281469506,0.0112045990128631,0.0101245446027471,1968 Q2,1968
"86",1968-07-01,0.0144302648290288,0.0109590137897196,0.0138314791484618,0.0102985241083481,1968 Q3,1968
"87",1968-10-01,0.0113961347308696,0.0108402145528648,0.0136427764037865,0.0110110948443622,1968 Q4,1968
"88",1969-01-01,0.0112677248463425,0.00805373480709683,0.0107817756032884,0.00970486621570197,1969 Q1,1969
"89",1969-04-01,0.0166670524852116,0.0159154553058996,0.0212209554828854,0.0126529674339178,1969 Q2,1969
"90",1969-07-01,0.0136801039040802,0.0130720815673527,0.0104439591610833,0.0121791285680231,1969 Q3,1969
"91",1969-10-01,0.0134954814748845,0.0103360093306621,0.0154642256975816,0.0115124243757058,1969 Q4,1969
"92",1970-01-01,0.0159577854386108,0.0153064212826755,0.0127066512691149,0.0115357045715424,1970 Q1,1970
"93",1970-04-01,0.0157071292053579,0.0125787822068602,0.0200006667066694,0.0110481406117807,1970 Q2,1970
"94",1970-07-01,0.0103360093306621,0.00995033085316809,0.0123002780816517,0.00966875840773008,1970 Q3,1970
"95",1970-10-01,0.0127715656794875,0.00985229644301164,0.0145633641878965,0.0128640060103107,1970 Q4,1970
"96",1971-01-01,0.0126105075919297,0.012180418556871,0.0143543134516831,0.00940507873197931,1971 Q1,1971
"97",1971-04-01,0.00500001041670584,0.00963862883776879,0.00710062154957637,0.0113167159977911,1971 Q2,1971
"98",1971-07-01,0.0123917322951635,0.0119190922372103,0.0117234636960592,0.0097438781440936,1971 Q3,1971
"99",1971-10-01,0.00736199644106904,0.0047281411959459,0.00465117117573088,0.00615593729712386,1971 Q4,1971
"100",1972-01-01,0.00730819330672484,0.00705055799666698,0.00923794098493636,0.0104453290325414,1972 Q1,1972
"101",1972-04-01,0.0072551708811718,0.00700119545898356,0.00687287928776205,0.00577188525802387,1972 Q2,1972
"102",1972-07-01,0.00720291229405802,0.00695251931488166,0.00682596507039989,0.00873614123155481,1972 Q3,1972
"103",1972-10-01,0.00952388151125554,0.00919546709310039,0.00677968698537877,0.00815038393925225,1972 Q4,1972
"104",1973-01-01,0.0117786991926127,0.0136365749495454,0.00449438958783927,0.0120794460931217,1973 Q1,1973
"105",1973-04-01,0.0231491818669656,0.0245274279962124,0.0111483874826142,0.019064623531315,1973 Q2,1973
"106",1973-07-01,0.011376686982108,0.0131292914417928,0.008830079448272,0.0180899604252906,1973 Q3,1973
"107",1973-10-01,0.0311829274366878,0.0278688990087922,0.0174296351352836,0.0203245703383367,1973 Q4,1973
"108",1974-01-01,0.0259754864032605,0.0291687345906569,0.0128757143600454,0.0293336175134951,1974 Q1,1974
"109",1974-04-01,0.0273989741881146,0.0283419780022749,0.021097828964636,0.0279257488860474,1974 Q2,1974
"110",1974-07-01,0.0246419039369289,0.0256171643703003,0.032857165157775,0.0266101816294765,1974 Q3,1974
"111",1974-10-01,0.0339015516756814,0.0344202238864794,0.0337668624708175,0.0249895134713209,1974 Q4,1974
"112",1975-01-01,0.0251707383465514,0.0241423053215996,0.0212568390254149,0.0184930588858493,1975 Q1,1975
"113",1975-04-01,0.0132955424812447,0.0109490144896705,0.0189399601009217,0.0121163119454327,1975 Q2,1975
"114",1975-07-01,0.0186921330121525,0.0215448189867758,0.0130477153924757,0.0184948781990706,1975 Q3,1975
"115",1975-10-01,0.0165293019512105,0.0176060885750493,0.0147061473896955,0.0166340759196387,1975 Q4,1975
"116",1976-01-01,0.0162605208717803,0.0138650401371718,0.0198741862070836,0.0110214858054202,1976 Q1,1976
"117",1976-04-01,0.00536194314138537,0.00686109037994516,0.014209830572653,0.0083742392546298,1976 Q2,1976
"118",1976-07-01,0.0159154553058996,0.0135825517658689,0.0157483569681391,0.0151378713011618,1976 Q3,1976
"119",1976-10-01,0.0156661167443995,0.0167227977294599,0.0155041865359653,0.0156726643394131,1976 Q4,1976
"120",1977-01-01,0.0137223422551012,0.0148150857851407,0.0135825517658689,0.0178778007195944,1977 Q1,1977
"121",1977-04-01,0.0219048353880498,0.0210193672240753,0.0167227977294599,0.0169298761128576,1977 Q2,1977
"122",1977-07-01,0.0132452267500205,0.0127187724077746,0.0148150857851407,0.0149397415709256,1977 Q3,1977
"123",1977-10-01,0.0130720815673529,0.00943403223335871,0.0129871955268111,0.0141040535831553,1977 Q4,1977
"124",1978-01-01,0.0176995770994009,0.0155282623265552,0.017586384502076,0.0162071847775071,1978 Q1,1978
"125",1978-04-01,0.018957913744614,0.0198328392329182,0.0188388616964061,0.0203341181404743,1978 Q2,1978
"126",1978-07-01,0.024730781257717,0.0209275201059558,0.0200160647064695,0.017413298245391,1978 Q3,1978
"127",1978-10-01,0.0241339013364299,0.0190481949706946,0.0240975515790605,0.0187444631241624,1978 Q4,1978
"128",1979-01-01,0.0206497012905435,0.0215370851443838,0.0191604977390758,0.0186954825516747,1979 Q1,1979
"129",1979-04-01,0.0301963992310167,0.0293932986966323,0.0259380535484395,0.0270006624487285,1979 Q2,1979
