"","FirstDate","gdpg","gap1","gap2","unrate","lshr","xli","xli2","fac","quarter","group"
"1",1952-04-01,0.00214070506745593,NA,2728.06170791977,NA,112.163,NA,NA,NA,1952 Q2,1952
"2",1952-07-01,0.00718642092533872,NA,2760.01995793316,NA,112.843,NA,NA,NA,1952 Q3,1952
"3",1952-10-01,0.0323117626350774,NA,2803.83194581572,NA,112.535,NA,NA,NA,1952 Q4,1952
"4",1953-01-01,0.0184197104588184,63.2493507991184,2850.32389568199,2.9,112.744,NA,NA,NA,1953 Q1,1953
"5",1953-04-01,0.00770118473997086,NA,2892.91846771737,NA,113.05,NA,NA,NA,1953 Q2,1953
"6",1953-07-01,-0.00564104051168291,NA,2924.16174944334,NA,113.344,NA,NA,NA,1953 Q3,1953
"7",1953-10-01,-0.0152529238738423,NA,2939.79510664195,NA,114.724,NA,NA,NA,1953 Q4,1953
"8",1954-01-01,-0.00478714498995375,63.3325171174047,2947.76135300191,4.9,115.071,NA,NA,NA,1954 Q1,1954
"9",1954-04-01,0.00109352839220297,NA,2952.48562240496,NA,114.24,NA,NA,NA,1954 Q2,1954
"10",1954-07-01,0.0112335607433122,NA,2960.40870497817,NA,113.252,NA,NA,NA,1954 Q3,1954
"11",1954-10-01,0.019380618135119,NA,2976.27581755885,NA,112.591,NA,NA,NA,1954 Q4,1954
"12",1955-01-01,0.0281655613591675,63.7617188165649,3004.91597558022,4.9,110.692,NA,NA,NA,1955 Q1,1955
"13",1955-04-01,0.0161444244585288,NA,3038.02920966197,NA,110.882,NA,NA,NA,1955 Q2,1955
"14",1955-07-01,0.013417791066362,NA,3073.5328591834,NA,111.309,NA,NA,NA,1955 Q3,1955
"15",1955-10-01,0.0059886932808544,NA,3106.50910309133,NA,111.626,NA,NA,NA,1955 Q4,1955
"16",1956-01-01,-0.00388797526893081,64.7833425535387,3130.95699969841,4,113.688,NA,NA,NA,1956 Q1,1956
"17",1956-04-01,0.00823178729922624,NA,3155.37890631812,NA,114.618,NA,NA,NA,1956 Q2,1956
"18",1956-07-01,-0.000897436447268075,NA,3174.07238959108,NA,114.925,NA,NA,NA,1956 Q3,1956
"19",1956-10-01,0.0163251299354378,NA,3198.64604962415,NA,114.944,NA,NA,NA,1956 Q4,1956
