"","FirstDate","gdpg","gap1","gap2","unrate","lshr","xli","xli2","fac","rate","yield","quarter","group"
"1",1947-04-01,-0.00265576624248759,NA,2176.89194211405,NA,114.234,NA,NA,NA,NA,NA,1947 Q2,1947
"2",1947-07-01,-0.00205089414506348,NA,2172.21046856115,NA,116.076,NA,NA,NA,NA,NA,1947 Q3,1947
"3",1947-10-01,0.0155385182596203,NA,2194.64526575989,NA,114.459,NA,NA,NA,NA,NA,1947 Q4,1947
"4",1948-01-01,0.0149480959214113,59.2767732860397,2224.3525748988,3.4,114.631,NA,NA,NA,NA,NA,1948 Q1,1948
"5",1948-04-01,0.0163887422606217,NA,2258.6305113638,NA,114.586,NA,NA,NA,NA,NA,1948 Q2,1948
"6",1948-07-01,0.00572874207685162,NA,2283.71605456858,NA,114.581,NA,NA,NA,NA,NA,1948 Q3,1948
"7",1948-10-01,0.00113222366570281,NA,2299.57618558391,NA,113.644,NA,NA,NA,NA,NA,1948 Q4,1948
"8",1949-01-01,-0.0138617703140792,59.8664129205722,2297.23693516317,4.3,113.949,NA,NA,NA,NA,NA,1949 Q1,1949
"9",1949-04-01,-0.00340235621810746,NA,2292.25626344536,NA,114.153,NA,NA,NA,NA,NA,1949 Q2,1949
"10",1949-07-01,0.0102863176794873,NA,2295.65426374574,NA,112.001,NA,NA,NA,NA,NA,1949 Q3,1949
"11",1949-10-01,-0.00841334574088023,NA,2291.94450506125,NA,112.634,NA,NA,NA,NA,NA,1949 Q4,1949
"12",1950-01-01,0.038563635111545,59.6284766505685,2313.81206505144,6.5,111.339,NA,NA,NA,NA,NA,1950 Q1,1950
"13",1950-04-01,0.0300531498717877,NA,2349.51371602653,NA,112.003,NA,NA,NA,NA,NA,1950 Q2,1950
"14",1950-07-01,0.037922426459351,NA,2401.03728691981,NA,110.578,NA,NA,NA,NA,NA,1950 Q3,1950
"15",1950-10-01,0.0189685237420958,NA,2453.53222768485,NA,110.881,NA,NA,NA,NA,NA,1950 Q4,1950
"16",1951-01-01,0.0134881840502226,61.5825571822424,2503.62809269835,3.7,110.319,NA,NA,NA,NA,NA,1951 Q1,1951
"17",1951-04-01,0.0171730416221001,NA,2554.10045611162,NA,111.613,NA,NA,NA,NA,NA,1951 Q2,1951
"18",1951-07-01,0.0203905787040841,NA,2606.93359466588,NA,109.679,NA,NA,NA,NA,NA,1951 Q3,1951
"19",1951-10-01,0.00218714707630872,NA,2651.18409293302,NA,110.748,NA,NA,NA,NA,NA,1951 Q4,1951
"20",1952-01-01,0.0106127461185174,62.4209721686207,2693.05470922679,3.2,111.255,NA,NA,NA,NA,NA,1952 Q1,1952
"21",1952-04-01,0.00214070506745593,NA,2728.06170791977,NA,112.163,NA,NA,NA,NA,NA,1952 Q2,1952
